,category,desc,brand,item_name,product_size,product_cost,unit_price_100
1,Fruit and vegetable juice,Commercial and non‐commercial juices,Woolworths,Orange juice,2000,2,0.1
2,Fruit and vegetable juice,Commercial and non‐commercial juices,Daily juice,Orange juice pulp free,2000,5,0.25
3,Fruit and vegetable juice,Commercial and non‐commercial juices,Woolworths,Apple juice,2000,2,0.1
4,Fruit and vegetable juice,Commercial and non‐commercial juices,Coles,Apple & Blackcurrant Juice,2000,2,0.1
5,Fruit and vegetable juice,Commercial and non‐commercial juices,Coles,Multi Vitamin Juice,2000,2,0.1
6,Fruit and vegetable juice,Commercial and non‐commercial juices,Coles,Tomato Juice,2000,2,0.1
7,Fruit and vegetable juice,Commercial and non‐commercial juices,Woolworths,Orange juice,2000,2,0.1
8,Fruit and vegetable juice,Commercial and non‐commercial juices,Daily juice,Orange juice pulp free,2000,5,0.25
9,Fruit and vegetable juice,Commercial and non‐commercial juices,Woolworths,Apple juice,2000,2,0.1
10,Fruit and vegetable juice,Commercial and non‐commercial juices,Coles,Apple & Blackcurrant Juice,2000,2,0.1
11,Fruit and vegetable juice,Commercial and non‐commercial juices,Coles,Multi Vitamin Juice,2000,2,0.1
12,Fruit and vegetable juice,Commercial and non‐commercial juices,Coles,Tomato Juice,2000,2,0.1
13,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Woolworths,Cola,1000,1,0.1
14,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Golden Circle,Cordial fruit cup crush,2000,3,0.15
15,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Thirst busters,Fruit cup cordial,2000,2.2,0.11
16,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Coles,Pineapple Drink,1250,1,0.08
17,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Golden Circle,Fruit Cup fruit drink,2000,3,0.15
18,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Coles,Diet Tonic Water,1250,1,0.08
19,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Woolworths,Cola,1000,1,0.1
20,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Golden Circle,Cordial fruit cup crush,2000,4,0.2
21,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Thirst busters,Fruit cup cordial,2000,2.2,0.11
22,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Coles,Pineapple Drink,1250,1,0.08
23,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Golden Circle,Fruit Cup fruit drink,2000,3,0.15
24,Sweetened beverages,"Fruit drinks, cordials, soft drinks, flavored mineral waters, sports drinks, and energy drinks",Coles,Diet Tonic Water,1250,1,0.08
25,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Sanitarium,Up&go Liquid Breakfast Choc Ice 6 pack,1500,9.7,0.646666667
26,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Nestle,Milo  Ready To Drink,600,4,0.666666667
27,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Nestle,Sustagen Vanilla Ready To Drink,750,5.9,0.786666667
28,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Sanitarium,UP&GO Liquid Breakfast Strawberry,1500,9.7,0.646666667
29,"Liquid breakfast, fortified beverages (like Milo)","Milo prepared with milk, unfortified beverage flavourings prepared with milk, beverage bases unmixed, and breakfast cereal beverages",Sanitarium,UP&GO Liquid Breakfast Choc Ice 3 pack,750,4.95,0.66
