,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,unit,price,special_price,substitution,substitute_brand,substitute_productname,url
1,Australia's Own,Full Cream Milk,2.4,2.4,2000,2000,East Village,2000,ml,3.1,,1,Coles,Full Cream Milk,https://www.coles.com.au/product/coles-full-cream-milk-2l-439693
2,Australia's Own,Full Cream Milk,2.4,2.4,2000,2000,Merrylands,2000,ml,3.1,,1,Coles,Full Cream Milk,https://www.coles.com.au/product/coles-full-cream-milk-2l-439693
3,Australia's Own,Full Cream UHT Milk,2.4,2.4,2000,2000,East Village,1000,ml,3.5,,1,A2,Full Cream UHT Milk,https://www.coles.com.au/product/a2-full-cream-uht-milk-1l-4873250
4,Australia's Own,Full Cream UHT Milk,2.4,2.4,2000,2000,Merrylands,1000,ml,3.5,,1,A2,Full Cream UHT Milk,https://www.coles.com.au/product/a2-full-cream-uht-milk-1l-4873250
5,Australia's Own,Low fat milk,2.4,2.4,2000,2000,East Village,,,,,,,,
6,Australia's Own,Low fat milk,2.4,2.4,2000,2000,Merrylands,,,,,,,,
7,Australia's Own,Skim Milk,2.4,2.4,2000,2000,East Village,2000,ml,4.7,,1,Dairy Farmers,Skim Milk,https://www.coles.com.au/product/dairy-farmers-skim-milk-2l-7193274
8,Australia's Own,Skim Milk,2.4,2.4,2000,2000,Merrylands,2000,ml,4.7,,1,Dairy Farmers,Skim Milk,https://www.coles.com.au/product/dairy-farmers-skim-milk-2l-7193274
9,Australia's Own,Skim Uht Milk,2.4,2.4,2000,2000,East Village,,,,,,,,
10,Australia's Own,Skim Uht Milk,2.4,2.4,2000,2000,Merrylands,,,,,,,,
11,Bare Bakers,Double Choc Muffin Bar,5.5,5.5,185,185,East Village,420,g,5.85,,1,Coles,Chocolate Chip Muffin Bars,https://www.coles.com.au/product/coles-chocolate-chip-muffin-bars-420g-3883758
12,Bare Bakers,Double Choc Muffin Bar,5.5,5.5,185,185,Merrylands,420,g,5.85,,1,Coles,Chocolate Chip Muffin Bars,https://www.coles.com.au/product/coles-chocolate-chip-muffin-bars-420g-3883758
13,Be Natural,Breakfast Cereal With 5 Whole Grain Flakes,4,4,325,325,East Village,325,g,4.35,3.5,,,,https://www.coles.com.au/product/be-natural-5-whole-grain-flakes-breakfast-cereal-325g-8489436
14,Be Natural,Breakfast Cereal With 5 Whole Grain Flakes,4,4,325,325,Merrylands,325,g,4.35,3.5,,,,https://www.coles.com.au/product/be-natural-5-whole-grain-flakes-breakfast-cereal-325g-8489436
15,Bell Farms,Bell Farms Chopped Spinach,0.95,0.95,250,250,East Village,250,g,2.8,,1,Birds Eye,Frozen Chopped Spinach,https://www.coles.com.au/product/birds-eye-frozen-chopped-spinach-250g-7562111
