,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,unit,price,special_price,substitution,substitute_brand,substitute_productname,url
1,Australia's Own,Full Cream Milk,2.4,2.4,2000,2000,Auburn,2000,ml,4.3,,1,Dairy Farmers,Full Cream Milk,https://www.woolworths.com.au/shop/productdetails/88436/dairy-farmers-full-cream-milk-full-cream-milk
3,Australia's Own,Full Cream UHT Milk,2.4,2.4,2000,2000,Auburn,1000,ml,2.5,,1,Australia's Own,A2 Protein Full Cream Uht Milk,https://www.woolworths.com.au/shop/productdetails/109483/australia-s-own-a2-protein-full-cream-uht-milk
5,Australia's Own,Low fat milk,2.4,2.4,2000,2000,Auburn,2000,ml,4.7,,1,Dairy Farmers,Light Milk,https://www.woolworths.com.au/shop/productdetails/24133/dairy-farmers-light-milk
7,Australia's Own,Skim Milk,2.4,2.4,2000,2000,Auburn,2000,ml,4.7,,1,Dairy Farmers,Skim Milk,https://www.woolworths.com.au/shop/productdetails/89926/dairy-farmers-skim-milk-skim-milk
9,Australia's Own,Skim Uht Milk,2.4,2.4,2000,2000,Auburn,1000,ml,1.6,,1,Woolworths,Uht Skim Milk,https://www.woolworths.com.au/shop/productdetails/748597/woolworths-uht-skim-milk
11,Bare Bakers,Double Choc Muffin Bar,5.5,5.5,185,185,Auburn,400,g,5.85,,1,Woolworths,Double Choc Muffin Bars,https://www.woolworths.com.au/shop/productdetails/86820/woolworths-double-choc-muffin-bars
13,Be Natural,Breakfast Cereal With 5 Whole Grain Flakes,4,4,325,325,Auburn,NA,NA,NA,,,,,NA
15,Bell Farms,Bell Farms Chopped Spinach,0.95,0.95,250,250,Auburn,250,g,0.95,,,,,https://www.woolworths.com.au/shop/productdetails/516857/bell-farms-chopped-spinach
17,Bell Farms,Bell Farms Crunchy Chips,2,3,750,750,Auburn,NA,NA,NA,,,,,NA
19,Big M,Chocolate milk,4.3,5.25,2000,2000,Auburn,2000,ml,6,,,,,https://www.woolworths.com.au/shop/productdetails/3170/big-m-chocolate-milk
21,Big M,Strawberry milk,4.3,4.3,2000,2000,Auburn,2000,ml,5.5,,1,Oak,Strawberry Milk,https://www.woolworths.com.au/shop/productdetails/481884/oak-strawberry-milk
23,Boston Bay,Mussels Cooked,7,7,500,500,Auburn,500,g,8,,,,,https://www.woolworths.com.au/shop/productdetails/802255/boston-bay-mussels-cooked
25,Chris,Chris' Homestyle Hommus,6.5,6.5,1000,1000,Auburn,200,g,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/703453/chris-dips-traditional-hommus
27,Chris,Homestyle Tzatziki,6.5,6.5,800,800,Auburn,200,g,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/703500/chris-dips-tzatziki
29,Coon,Cheese Block Tasty,10.85,10.85,1000,1000,Auburn,1000,g,14.95,,1,Cheer,Cheese Block Tasty,https://www.woolworths.com.au/shop/productdetails/166625/cheer-cheese-block-tasty
31,Coon,Cheese slices 36 pack,10,10,750,750,Auburn,750,g,14,,1,Cheer,Cheese Slices Tasty,https://www.woolworths.com.au/shop/productdetails/165838/cheer-cheese-slices-tasty
33,Daily juice,Orange juice pulp free,5,5,2000,2000,Auburn,2000,ml,5.8,,,,,https://www.woolworths.com.au/shop/productdetails/90211/daily-juice-pulp-free-orange-juice
35,Dandy,Economy Bacon Rashers,9,9,1000,1000,Auburn,1000,g,12,,1,Woolworths,Middle Bacon,https://www.woolworths.com.au/shop/productdetails/48358/woolworths-middle-bacon-middle-rashers
37,Dandy,Middle Bacon,10,10,1000,1000,Auburn,1000,g,12,,1,Woolworths,Middle Bacon,https://www.woolworths.com.au/shop/productdetails/48358/woolworths-middle-bacon-middle-rashers
39,Deep Cove,Sardines in springwater,0.75,0.75,125,125,Auburn,125,g,0.85,,,,,https://www.woolworths.com.au/shop/productdetails/83235/deep-cove-sardines-in-springwater
41,Devondale,Sandwich Cheese Slices,5.5,5.5,500,500,Auburn,500,g,7.5,,,,,https://www.woolworths.com.au/shop/productdetails/729880/devondale-sandwich-cheese-slices
43,Devondale,Sandwich Cheese Slices 36 Pack,6.9,6.9,750,750,Auburn,500,g,7.5,,1,Devondale,Sandwich Cheese Slices,https://www.woolworths.com.au/shop/productdetails/729880/devondale-sandwich-cheese-slices
45,Devondale ,Full Cream Long Life Milk,1.45,1.45,1000,1000,Auburn,1000,ml,2.2,,,,,https://www.woolworths.com.au/shop/productdetails/33557/devondale-100-pure-full-cream-long-life-milk
47,Devondale ,Semi Skim Long Life Milk,1.45,1.45,1000,1000,Auburn,1000,ml,2.2,,,,,https://www.woolworths.com.au/shop/productdetails/230367/devondale-semi-skim-long-life-milk
49,Dick Smith's,Bush Foods Breakfast Cereal,5.35,5.35,500,500,Auburn,500,g,5.5,,1,Farmers Co,Bush Foods Breakfast Cereal,https://www.woolworths.com.au/shop/productdetails/170793/farmers-co-bush-foods-breakfast-cereal
51,Dole,Pineapple in Juice,3.5,3.5,695,695,Auburn,822,g,5.25,,1,Dole,Pineapple Slices in Juice,https://www.woolworths.com.au/shop/productdetails/813467/dole-pineapple-slices-in-juice
53,Essentials,White Sandwich Bread,1.3,1.3,650,650,Auburn,650,g,2.4,,,,,https://www.woolworths.com.au/shop/productdetails/581170/essentials-white-sandwich-bread
55,Evergreen,Firm Tofu,4.5,4.5,900,900,Auburn,900,g,5.25,,,,,https://www.woolworths.com.au/shop/productdetails/595587/evergreen-firm-tofu
57,Evergreen,Original Tofu,4.4,5,900,900,Auburn,900,g,5.25,,,,,https://www.woolworths.com.au/shop/productdetails/595732/evergreen-original-tofu
59,Farm Pride,Farm Fresh Cage Eggs 12 pack,3.5,3.5,700,700,Auburn,700,g,4.5,,1,Just 4 You,Extra Large Caged Eggs,https://www.woolworths.com.au/shop/productdetails/893974/just-4-you-12-extra-large-caged-eggs
61,Farmer's Co,Bush Foods Breakfast Cereal,5.35,5.35,500,500,Auburn,500,g,5.5,,,,,https://www.woolworths.com.au/shop/productdetails/170793/farmers-co-bush-foods-breakfast-cereal
63,Farmers Co.,Bush Foods Breakfast Cereal,5.35,5.35,500,500,Auburn,500,g,5.5,,,,,https://www.woolworths.com.au/shop/productdetails/170793/farmers-co-bush-foods-breakfast-cereal
65,Farmers union,Greek Style Natural Yoghurt,5.2,5.2,1000,1000,Auburn,1000,g,6.5,,,,,https://www.woolworths.com.au/shop/productdetails/31547/farmers-union-greek-style-natural-yoghurt
67,Farmers union,Iced Coffee,4.3,4.3,2000,2000,Auburn,2000,ml,5.5,,1,Oak,Iced Coffee,https://www.woolworths.com.au/shop/productdetails/556119/oak-milk-iced-coffee
69,Farmers Union,Greek Style Natural Yoghurt,5.2,5.2,1000,1000,Auburn,1000,g,6.5,,,,,https://www.woolworths.com.au/shop/productdetails/31547/farmers-union-greek-style-natural-yoghurt
71,Five:am,Simply Greek Yoghurt,9.5,9.5,1800,1800,Auburn,1000,g,6.5,,1,Farmers Union,Greek Style Natural Yoghurt,https://www.woolworths.com.au/shop/productdetails/31547/farmers-union-greek-style-natural-yoghurt
73,Gardener,Mixed Blossom Honey,6.5,6.5,700,700,Auburn,NA,NA,NA,,,,,NA
