,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,price,special_price,substitution,substitute_brand,substitute_productname
1,Australia's Own,Full Cream Milk,2.4,2.4,2000,2000,Auburn,2000,4.3,,1,Dairy Farmers,Full Cream Milk
2,Australia's Own,Full Cream Milk,2.4,2.4,2000,2000,Burwood,2000,4.3,,1,Dairy Farmers,Full Cream Milk
3,Australia's Own,Full Cream UHT Milk,2.4,2.4,2000,2000,Auburn,1000,2.8,,,,
4,Australia's Own,Full Cream UHT Milk,2.4,2.4,2000,2000,Burwood,1000,2.8,,,,
5,Australia's Own,Low fat milk,2.4,2.4,2000,2000,Auburn,2000,3.1,,1,Woolworths,Lite Milk
6,Australia's Own,Low fat milk,2.4,2.4,2000,2000,Burwood,2000,3.1,,1,Woolworths,Lite Milk
7,Australia's Own,Skim Milk,2.4,2.4,2000,2000,Auburn,2000,4.6,,1,Riverina,Fresh Skim Milk
8,Australia's Own,Skim Milk,2.4,2.4,2000,2000,Burwood,2000,4.6,,1,Riverina ,Fresh Skim Milk
9,Australia's Own,Skim Uht Milk,2.4,2.4,2000,2000,Auburn,1000,1.6,,1,Woolworths,UHT Skim Milk
10,Australia's Own,Skim Uht Milk,2.4,2.4,2000,2000,Burwood,1000,1.6,,1,Woolworths,UHT Skim Milk
11,Bare Bakers,Double Choc Muffin Bar,5.5,5.5,185,185,Auburn,185,7,,,,
12,Bare Bakers,Double Choc Muffin Bar,5.5,5.5,185,185,Burwood,NA,NA,,,,
13,Be Natural,Breakfast Cereal With 5 Whole Grain Flakes,4,4,325,325,Auburn,NA,NA,,,,
14,Be Natural,Breakfast Cereal With 5 Whole Grain Flakes,4,4,325,325,Burwood,NA,NA,,,,
15,Bell Farms,Bell Farms Chopped Spinach,0.95,0.95,250,250,Auburn,250,0.95,,,,
16,Bell Farms,Bell Farms Chopped Spinach,0.95,0.95,250,250,Burwood,250,0.95,,,,
17,Bell Farms,Bell Farms Crunchy Chips,2,3,750,750,Auburn,1000,4.3,,,,
18,Bell Farms,Bell Farms Crunchy Chips,2,3,750,750,Burwood,1000,4.3,,,,
19,Big M,Chocolate milk,4.3,5.25,2000,2000,Auburn,2000,6,,,,
20,Big M,Chocolate milk,4.3,5.25,2000,2000,Burwood,2000,6,,,,
21,Big M,Strawberry milk,4.3,4.3,2000,2000,Auburn,2000,6,,,,
22,Big M,Strawberry milk,4.3,4.3,2000,2000,Burwood,2000,6.3,,1,Oak ,Strawberry Milk
23,Boston Bay,Mussels Cooked,7,7,500,500,Auburn,500,8,,,,
24,Boston Bay,Mussels Cooked,7,7,500,500,Burwood,500,8,,,,
25,Chris,Chris' Homestyle Hommus,6.5,6.5,1000,1000,Auburn,200,4.5,3.5,,,
26,Chris,Chris' Homestyle Hommus,6.5,6.5,1000,1000,Burwood,200,4.5,3.5,,,
27,Chris,Homestyle Tzatziki,6.5,6.5,800,800,Auburn,200,4.5,3.5,,,
28,Chris,Homestyle Tzatziki,6.5,6.5,800,800,Burwood,200,4.5,3.5,,,
29,Coon,Cheese Block Tasty,10.85,10.85,1000,1000,Auburn,1000,14.95,,1,Cheer,Cheese Block Tasty
30,Coon,Cheese Block Tasty,10.85,10.85,1000,1000,Burwood,1000,14.95,,1,Cheer ,Cheese Block Tasty
31,Coon,Cheese slices 36 pack,10,10,750,750,Auburn,750,14,,1,Cheer,Cheese Slices Tasty
32,Coon,Cheese slices 36 pack,10,10,750,750,Burwood,750,14,,1,Cheer,Cheese Slices Tasty
33,Daily juice,Orange juice pulp free,5,5,2000,2000,Auburn,2000,5.8,,,,
34,Daily juice,Orange juice pulp free,5,5,2000,2000,Burwood,2000,5.8,,,,
35,Dandy,Economy Bacon Rashers,9,9,1000,1000,Auburn,NA,NA,,,,
36,Dandy,Economy Bacon Rashers,9,9,1000,1000,Burwood,NA,NA,,,,
37,Dandy,Middle Bacon,10,10,1000,1000,Auburn,1000,13.2,,1,Woolworths ,Middle Bacon
38,Dandy,Middle Bacon,10,10,1000,1000,Burwood,1000,13.2,,1,Woolworths ,Middle Bacon
39,Deep Cove,Sardines in springwater,0.75,0.75,125,125,Auburn,125,0.9,,,,
